Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"ABOVE (FR)",2017,GELDING,"ANJAAL (GB)","BROKEN APPLAUSE (IRE)","Robert Cowell",69,,,,,,,,,,,
"ABSOLUT GREY (FR)",2021,GELDING,"GOLIATH DU BERLAIS (FR)","CARIBENA (FR)","Mrs E. Summersby",,,,,,,,,,69,,
"ABSOLUTE STAR (GB)",2021,FILLY,"DARK ANGEL (IRE)","ABSOLUTE BLAST (IRE)",,78,,,,,,,,,,,
"ABSOLUTELY DOYEN (IRE)",2020,GELDING,"DOYEN (IRE)","DUFFYS PRESENT (IRE)","Paul Nicholls",,,,,,,,,,135,,
"ABSTRACT (IRE)",2018,GELDING,"SEA THE STARS (IRE)","SENSE OF PURPOSE (IRE)",,41,,,,,,,,,,,
"ABU ROYAL (IRE)",2020,GELDING,"DARK ANGEL (IRE)","SPESIALTA (GB)","L J Morgan",46,,,,,,,,,,,
"ABUNDANCE (GB)",2022,GELDING,"ZOUSTAR (AUS)","BOUNTY BOX (GB)",,87,,,,,,,,,,,
"ABUNDANT (IRE)",2023,GELDING,"LUCKY VEGA (IRE)","EMRELIYA (IRE)","Tom Ward",78,,,,,,,,,,,
"ACCADEMIA (GB)",2023,FILLY,"ST MARK'S BASILICA (FR)","UMNIYAH (IRE)","Ed Walker",67,,,,,,,,,,,
"ACCENTUATE (GB)",2022,GELDING,"SEA THE MOON (GER)","FLY (GB)","Tim Easterby",89,,,,,,,,,,,
"ACCLAIMED FREEDOM (GB)",2023,COLT,"ACLAIM (IRE)","FREEDOM SPIRIT (GB)","George Scott",72,,,,,,,,,,,
"ACCOMMODATION (IRE)",2023,FILLY,"PALACE PIER (GB)","ACCOMMODATE (IRE)","Stuart Williams",55,,,,,,,,,,,
"ACCREDIT (GB)",2023,COLT,"DUBAWI (IRE)","ENTITLE (GB)","John & Thady Gosden",99,,,,,,,,,,,
"ACCRUAL (GB)",2021,GELDING,"PROFITABLE (IRE)","ALBERTINE ROSE (GB)","David Loughnane",84,,,,,,,,,,,
"ACCWEST (IRE)",2020,FILLY,"ACCLAMATION (GB)","WESTERN SAFARI (IRE)",,44,,,,,,,,,,,
"ACE OF SPADES (FR)",2019,GELDING,"DINK (FR)","ALINGA'S LASS (IRE)",,,,,,,,,,,138,,
"ACES WILD (IRE)",2019,GELDING,"DANDY MAN (IRE)","FASHION CENTRAL (GB)","Adrian Wintle",72,,,,,,,,,,,
"ACHILLE DES ROCS (FR)",2019,GELDING,"COASTAL PATH (GB)","CYTI ROSE (FR)","L J Morgan",,,,,,,105,,,,,
"ACHNAMARA (GB)",2019,GELDING,"KODIAC (GB)","ALBAMARA (GB)","Philip Kirby",49,,,,,,,,,94,,
