Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"CHAMPAGNE DREAM (GB)",2023,COLT,"OASIS DREAM (GB)","BELLE MEADE (IRE)",,65,,,,,,,,,,,
"CHAMPAGNE POWDER (FR)",2022,GELDING,"KODIAC (GB)","GRACE AND DANGER (IRE)","Oliver Cole",80,,,,,,,,,,,
"CHAMPAGNE TWIST (IRE)",2018,GELDING,"SHANTOU (USA)","AUNT NORA (IRE)","Ben Pauling",,,,,,,,,,117,,
"CHAMPAGNEBREAKFAST (GB)",2022,FILLY,"CHURCHILL (IRE)","GERTRUDE GRAY (IRE)",,46,,,,,,,,,,,
"CHAMPION AGAIN OLE (IRE)",2022,GELDING,"LOPE DE VEGA (IRE)","ROYAL INTERVENTION (IRE)","Roger Varian",81,,,,,,,,,,,
"CHAMPION ISLAND (IRE)",2023,COLT,"STARSPANGLEDBANNER (AUS)","GREENISLAND (IRE)",,74,,,,,,,,,,,
"CHAMPONIE (GB)",2023,FILLY,"SHOWCASING (GB)","FINAL OPTION (GB)","George Boughey",85,,,,,,,,,,,
"CHANCELLOR (GB)",2022,GELDING,"KINGMAN (GB)","QUEEN'S TRUST (GB)","John & Thady Gosden",109,,,,,,,,,,,
"CHANGE OF FORTUNE (GB)",2019,GELDING,"CITYSCAPE (GB)","SECRET DREAM (IRE)","Bernard Llewellyn",47,,,,,,,,,,,
"CHANGE SINGS (IRE)",2020,GELDING,"SAXON WARRIOR (JPN)","CASSANDRA GO (IRE)","Eve Johnson Houghton",83,,,,,,,,,,,
"CHANGEMYLUCK (GB)",2020,FILLY,"YORGUNNABELUCKY (USA)","BELLE BELLA (IRE)","Stuart Coltherd",,,,,,,,,,105,,
"CHANGEOFMIND (IRE)",2020,GELDING,"SIOUX NATION (USA)","DUSTY (GB)","Declan Carroll",75,,,,,,,,,,,
"CHANONRY POINT (IRE)",2020,FILLY,"AFFINISEA (IRE)","DANCE COVER (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,,,,104,,
"CHANTELLE (GB)",2023,FILLY,"GLENEAGLES (IRE)","CANASTA (GB)","Sir Mark Prescott Bt",80,,,,,,,,,,,
"CHANTILLY LACE (IRE)",2022,FILLY,"LOPE DE VEGA (IRE)","SEEKING SOLACE (GB)","Ralph Beckett",104,,,,,,,,,,,
"CHAPEL GREEN (IRE)",2017,GELDING,"DYLAN THOMAS (IRE)","THE COOLEST CAT (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,110,,,,,
"CHAPELIER (IRE)",2012,GELDING,"ARCADIO (GER)","ERSA (IRE)","John Whyte",,,,,,,77,,,,,
"CHAPMAN'S PEAK (GB)",2023,GELDING,"SHOWCASING (GB)","MELESINA (IRE)","Ed Dunlop",72,,,,,,,,,,,
"CHAPTER (IRE)",2023,GELDING,"DARK ANGEL (IRE)","TIMELY (GB)","Charles Hills",76,,,,,,,,,,,
"CHARACTER TESTING (GB)",2021,GELDING,"TIME TEST (GB)","CHARACTERIZED (GB)","Mark Walford",60,,,,,,,,,94,,
"CHARCON (GB)",2023,FILLY,"TWILIGHT SON (GB)","PORRIMA (IRE)","Ben Haslam",49,,,,,,,,,,,
"CHARENCEY (IRE)",2020,GELDING,"LOPE DE VEGA (IRE)","NORMANDEL (FR)","Ian Williams",54,,,,,,,,,,,
"CHARGING BULL (IRE)",2022,GELDING,"BLUE POINT (IRE)","LANDMARK (USA)","Michael Keady",52,,,,,,,,,,,
"CHARGING THUNDER (GB)",2018,GELDING,"WAR COMMAND (USA)","STORMING SIOUX (GB)","James Owen",89,,,,,,,,,109,,
"CHARISMA CAT (GB)",2020,FILLY,"NATHANIEL (IRE)","TIDARA ANGEL (IRE)","Alan King",,,,,,,,,,132,,
"CHARLATAN (IRE)",2020,GELDING,"MASTERCRAFTSMAN (IRE)","LYIN EYES (GB)","David Simcock",53,,,,,,,,,,,
"CHARLES DARNAY (GB)",2023,GELDING,"PLANTEUR (IRE)","MADAME DEFARGE (IRE)","James Owen",76,,,,,,,,,,,
"CHARLES MORIN (GB)",2021,GELDING,"CHURCHILL (IRE)","COLOURFUL (GB)","Pat Phelan",52,-1,,,,,,,,79,,
"CHARLES RITZ (GB)",2016,GELDING,"MILAN (GB)","MISS BALLANTYNE (GB)","Tom George",,,,,,,120,,,,,
"CHARLIE DARLING (FR)",2020,GELDING,"ULTRA (IRE)","FEMME KYOTO (FR)","Alan Brown",58,+3,,,,,,,,,,
"CHARLIE MASON (GB)",2021,GELDING,"MAYSON (GB)","AUBRIETIA (GB)","Tony Carroll",73,,,,,,,,,,,
"CHARLIE'S CHOICE (GB)",2020,GELDING,"LIGHTNING SPEAR (GB)","ALIYANA (IRE)","David Simcock",78,,,,,,,,,,,
"CHARLIES JETAWAY (IRE)",2021,GELDING,"JET AWAY (GB)","GAYE NATIVE (IRE)","Syd Hosie",,,,,,,78,,,78,,
"CHARLOTTE CORDAY (IRE)",2023,FILLY,"CRACKSMAN (GB)","BLUE DAWN (GB)",,68,,,,,,,,,,,
"CHARLOTTE'S WEB (IRE)",2021,FILLY,"NIGHT OF THUNDER (IRE)","CHAMUNDI HILLS (IRE)",,103,,,,,,,,,,,
"CHARLUS (IRE)",2021,GELDING,"CHURCHILL (IRE)","NOBILIS (GB)","Dan Skelton",,,,,,,,,,124,,
"CHARMAINE (GB)",2021,FILLY,"CAMELOT (GB)","ZEST (IRE)","James Fanshawe",84,,,,,,,,,,,
"CHARMING DOLL (IRE)",2023,FILLY,"ARDAD (IRE)","BUMPTIOUS (GB)","Ismail Mohammed",67,,,,,,,,,,,
"CHARMING FELLOW (GB)",2022,GELDING,"CHARMING THOUGHT (GB)","LULEA (GB)","Joe Ponting",50,,,,,,,,,,,
"CHARMING PRINCESS (IRE)",2022,FILLY,"WOOTTON BASSETT (GB)","HINT OF A TINT (IRE)",,84,,,,,,,,,,,
"CHARTWELL JOCK (GB)",2022,GELDING,"CHURCHILL (IRE)","TIPTREE (IRE)","Seamus Mullins",78,,,,,,,,,94,,
"CHASE A FORTUNE (GB)",2018,GELDING,"CANNOCK CHASE (USA)","LUCEMATIC (GB)","Chris Grant",,,,,,,,,,115,,
"CHASING FIRE (GB)",2017,GELDING,"MAXIOS (GB)","KAHARA (GB)","Olly Murphy",,,,,,,,,,136,,
"CHASING GLANCE (GB)",2018,GELDING,"PASSING GLANCE (GB)","MIDNIGHT FLYER (GB)","Tom Ellis",,,,,,,,,,119,,
"CHASING GOLD (GB)",2022,GELDING,"TWILIGHT SON (GB)","INVALUABLE (GB)","Michael Keady",54,,,,,,,,,,,
"CHASING TIME (IRE)",2023,GELDING,"SEA THE STARS (IRE)","SWITCHING (USA)","Charlie Appleby",87,,,,,,,,,,,
"CHASINGOUTTHEBLUES (IRE)",2019,GELDING,"SEA MOON (GB)","BALLY TUTU (IRE)","Mark Walford",,,,,,,125,,,,,
"CHATEAU DU LYS (GB)",2019,GELDING,"CLOVIS DU BERLAIS (FR)","FINE LILY (GB)","Tom Gretton",,,,,,,69,,,,,
"CHATTAMENTO (IRE)",2020,FILLY,"CASAMENTO (IRE)","RUSSIAN MEMORIES (FR)",,,,,,,,,,,106,-2,collateral
"CHATTY GIRL (IRE)",2021,FILLY,"HARZAND (IRE)","CONVERSATION (IRE)","Alex Hales",,,,,,,,,,100,,
"CHAVEZ (IRE)",2016,GELDING,"YEATS (IRE)","ROCK THE BABY (IRE)","Venetia Williams",,,,,,,120,,,115,,
"CHECK THE SCORE (IRE)",2018,GELDING,"MAHLER (GB)","SUMMER AGAIN (IRE)","Fergal O'Brien",,,,,,,97,,,94,,
"CHECKANDCHALLENGE (GB)",2019,GELDING,"FAST COMPANY (IRE)","LIKEABLE (GB)","William Knight",104,,,,,,,,,,,
"CHEDINGTON'S GUEST (GB)",2019,GELDING,"JACK HOBBS (GB)","DOUBLY GUEST (GB)","Keiran Burke",,,,,,,,,,93,,
"CHEERLEADER (GB)",2022,FILLY,"DANDY MAN (IRE)","SLEEPLESS (GB)","Tina Jackson",59,,,,,,,,,,,
"CHEESY ICON (GB)",2020,GELDING,"SIXTIES ICON (GB)","ETTIE HART (IRE)","Mel Rowley",,,,,,,,,,117,,
"CHELIO (GB)",2023,GELDING,"SERGEI PROKOFIEV (CAN)","TULIP DRESS (GB)","Denis Coakley",63,,,,,,,,,,,
"CHELSEA ANNIE (IRE)",2019,FILLY,"MEHMAS (IRE)","MISS SALLY (IRE)",,43,,,,,,,,,,,
"CHELSEA OLD CHURCH (GB)",2022,GELDING,"NEW BAY (GB)","LIPSTICK ROSE (IRE)",,61,,,,,,,,,,,
"CHEMISTRY (IRE)",2021,GELDING,"KINGMAN (GB)","HIGHEST EVER (IRE)","Jennie Candlish",90,,,,,,,,,,,
"CHEMOULIN (FR)",2020,GELDING,"SPANISH MOON (USA)","CASTILLY (FR)","Charlie Longsdon",,,,,,,,,,109,,
"CHER MONSIEUR (FR)",2020,GELDING,"CASTLE DU BERLAIS (FR)","MA CHERE AMIE (FR)","Neil Mulholland",,,,,,,90,+4,,90,+4,
"CHER TARA (IRE)",2019,FILLY,"KAYF TARA (GB)","ROCK CHICK SUPREMO (IRE)","Daragh Bourke",,,,,,,,,,91,,
"CHERRY BAKER (GB)",2023,FILLY,"HARRY ANGEL (IRE)","BUTSOVA (IRE)","James Owen",80,,,,,,,,,,,
"CHERRY COBBLER (GB)",2022,GELDING,"ZOUSTAR (AUS)","FOXCATCHER (GB)","Stuart Williams",67,,,,,,,,,,,
"CHERRY COLA (GB)",2016,FILLY,"SIXTIES ICON (GB)","ROSE CHEVAL (USA)","Sheena West",52,,,,,,,,,,,
"CHERRY HILL (GB)",2021,FILLY,"ULYSSES (IRE)","CHERRY ORCHARD (IRE)","Dominic Ffrench Davis",44,,,,,,,,,,,
"CHESHIRE BELLE (IRE)",2022,FILLY,"SHAMAN (IRE)","ALYAAFEL (GB)",,50,,,,,,,,,,,
"CHESHIRE DANCER (IRE)",2021,FILLY,"PHOENIX OF SPAIN (IRE)","KRISTAL XENIA (IRE)","Hugo Palmer",103,,,,,,,,,,,
"CHESNEYS CHARM (GB)",2022,GELDING,"MOHAATHER (GB)","VELVET CHARM (GB)","Grant Tuer",68,-2,,,,,,,,,,
"CHESTER TONIK (FR)",2020,GELDING,"STARSPANGLEDBANNER (AUS)","COSTA RICA (IRE)",,,,,,,,,,,72,,
"CHESTNUT PETE (GB)",2015,GELDING,"NATIVE RULER (GB)","RABBIT (GB)",,,,,,,,97,,,,,
"CHEVINGTON (GB)",2019,GELDING,"JACK HOBBS (GB)","NORMA HILL (GB)","Alastair Ralph",,,,,,,,,,96,,
"CHHOTA SAAB (GB)",2023,GELDING,"CRACKSMAN (GB)","DOMINANCE (GB)","S. P. C. Woods",58,,,,,,,,,,,
"CHIBITTY (FR)",2022,GELDING,"ZELZAL (FR)","AMESA SPENTA (FR)","David Simcock",103,,,,,,,,,,,
"CHIC COLOMBINE (FR)",2021,FILLY,"SEAHENGE (USA)","LITTLE HIPPO (GB)",,87,,,,,,,,,,,
"CHICAGO STORM (GB)",2019,GELDING,"DABIRSIM (FR)","HOH MY DARLING (GB)","Daisy Hitchins",66,,,,,,,,,101,,
"CHICO DULCE (GB)",2020,GELDING,"WASHINGTON DC (IRE)","DEEP BLUE DIAMOND (GB)","Michael Madgwick",54,,,,,,,,,,,
"CHICO MAGNIFICA (IRE)",2022,GELDING,"BELARDO (IRE)","MAGNIFICA (USA)","Olly Murphy",80,,,,,,,,,88,,
"CHICORY (GB)",2023,FILLY,"ARDAD (IRE)","RAINCALL (GB)","Ed Walker",80,,,,,,,,,,,
"CHIEDOZIE (GB)",2021,GELDING,"ADVERTISE (GB)","VALLETTA GOLD (IRE)","Phil McEntee",43,,,,,,,,,,,
"CHIEF BLACK ROBE (IRE)",2016,GELDING,"EL SALVADOR (IRE)","NOLEENS MOON (IRE)","Fergal O'Brien",,,,,,,95,,,90,,
"CHIEF O'HARA (IRE)",2020,GELDING,"DOYEN (IRE)","FOLLY DAT (IRE)",,,,,,,,91,,,,,
"CHIEF OF STATE (IRE)",2021,GELDING,"KUROSHIO (AUS)","NUALA TAGULA (IRE)",,54,,,,,,,,,,,
"CHIEF RED WING (IRE)",2023,GELDING,"SIOUX NATION (USA)","VILAMOS (IRE)",,71,,,,,,,,,,,
"CHIEF SUNDAY (FR)",2020,GELDING,"TUNIS (POL)","TEMPLIERE (FR)","Nigel & Willy Twiston-Davies",,,,,,,,,,95,,
"CHIFA (IRE)",2017,GELDING,"GUTAIFAN (IRE)","INCA TRAIL (USA)","Ed de Giles",66,-2,,,,,,,,,,
"CHILLHI (IRE)",2020,GELDING,"CHURCHILL (IRE)","HI KATRIONA (IRE)","Barry Murphy",58,-2,,,,,,,,105,,
"CHILLI QUEEN (GB)",2022,FILLY,"HAVANA GOLD (IRE)","ROYAL WARRANTY (GB)","Emma Lavelle",87,,,,,,,,,,,
"CHILLICONCARNEIGH (IRE)",2023,GELDING,"COULSTY (IRE)","BROADWAY MUSICAL (IRE)",,52,,,,,,,,,,,
"CHILLINGHAM (IRE)",2019,GELDING,"ULYSSES (IRE)","LAST JEWEL (IRE)","Micky Hammond",90,,,,,,,,,,,
"CHILLY BREEZE (GB)",2022,GELDING,"ULYSSES (IRE)","HUMID (GB)","Ian Williams",70,,,,,,,,,,,
"CHIN CHIN GINNY (GB)",2022,FILLY,"LIGHTNING SPEAR (GB)","OFELIA (IRE)",,29,,,,,,,,,,,
"CHIPS AND RICE (GB)",2019,FILLY,"GOLDEN HORN (GB)","SEMARAL (IRE)",,70,,,,,,,,,,,
"CHIPSTEAD (GB)",2018,GELDING,"MAYSON (GB)","CHARLOTTE ROSINA (GB)","Roger Teal",92,,,,,,,,,,,
"CHLOE'S COURAGE (GB)",2022,FILLY,"IFFRAAJ (GB)","DESERT SHINE (IRE)","John Ryan",52,,,,,,,,,,,
"CHOICE RUNNER (IRE)",2020,GELDING,"WELL CHOSEN (GB)","BELSALSA (FR)","Dan Skelton",,,,,,,93,-3,,93,-3,
"CHOIR BOY (IRE)",2023,COLT,"WOOTTON BASSETT (GB)","EVEN SONG (IRE)","Antony Brittain",65,,,,,,,,,,,
"CHOLA EMPIRE (GB)",2019,GELDING,"TERRITORIES (IRE)","VEENA (FR)","David Simcock",68,,,,,,,,,,,
"CHOOSE A COPPER (IRE)",2018,GELDING,"WELL CHOSEN (GB)","PRINTING COPPER (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,108,,,,,
"CHORUS (GB)",2021,FILLY,"KINGMAN (GB)","KOORA (GB)",,98,,,,,,,,,,,
"CHOSEN BAE (IRE)",2019,FILLY,"MOUNT NELSON (GB)","WINDING BAE (IRE)","Ryan Potter",,,,,,,68,,,68,,
"CHOSEN HERO (IRE)",2018,FILLY,"FLEMENSFIRTH (USA)","CHOSEN DESTINY (IRE)","Lizzie Quinlan",,,,,,,,,,79,,
"CHOSEN TEMPLAR (IRE)",2018,GELDING,"WELL CHOSEN (GB)","KILGANEY MAID (IRE)","D. J. Jeffreys",,,,,,,100,,,,,
"CHOURMO (GB)",2020,GELDING,"POSTPONED (IRE)","INDICIA (GB)","Dan Horsford",47,-1,,,,,,,,,,
"CHRIS'S MATE (GB)",2021,GELDING,"WASHINGTON DC (IRE)","SEAPERLE (GB)",,49,,,,,,,,,,,
"CHRISTIAN DAVID (IRE)",2021,COLT,"PROFITABLE (IRE)","LIBERTY SKY (IRE)","Richard Hannon",91,,,,,,,,,,,
"CHUGGY (GB)",2020,GELDING,"WALK IN THE PARK (IRE)","RAITERA (FR)","Dan Skelton",,,,,,,125,,,,,
"CHUMLEE (IRE)",2015,GELDING,"RECITAL (FR)","OCEANNA MIST (IRE)","Sandy Forster",,,,,,,86,,,86,,
"CHURCHELLA (IRE)",2020,FILLY,"CHURCHILL (IRE)","ELIZABELLE (IRE)","Philip Kirby",67,,,,,,,,,,,
"CHURCHILL'S SPIRIT (IRE)",2023,FILLY,"CHURCHILL (IRE)","AZWAH (GB)","Tom Clover",47,,,,,,,,,,,
"CHURCHMAN (GB)",2018,GELDING,"DUNADEN (FR)","PICKERSLEIGH (IRE)","Alastair Ralph",,,,,,,,,,78,,
"CHUTI MANIKA (IRE)",2022,COLT,"MAGNA GRECIA (IRE)","ASSAULT ON ROME (IRE)",,64,,,,,,,,,,,
"CHUZZLEWIT (GB)",2020,GELDING,"SHOWCASING (GB)","FURBELOW (GB)","Seb Spencer",60,,,,,,,,,,,
"CIAO BELLISIMA (GB)",2020,FILLY,"TELESCOPE (IRE)","MIDNIGHT JADE (IRE)",,,,,,,,,,,87,,
"CIAO CAPO (IRE)",2023,GELDING,"LOPE Y FERNANDEZ (IRE)","BUTTERFLY KISS (USA)","Richard & Peter Fahey",60,,,,,,,,,,,
"CIARA PEARL (GB)",2020,FILLY,"TWILIGHT SON (GB)","UPSKITTLED (GB)","Daniel & Claire Kubler",92,,,,,,,,,,,
"CIARA STORM (GB)",2020,FILLY,"NATHANIEL (IRE)","FRANCISCA (USA)",,40,,,,,,,,,,,
"CIARRAI ABU (IRE)",2023,GELDING,"STUDY OF MAN (IRE)","ACAPELLA BLU (IRE)","Harry Eustace",78,new,,,,,,,,,,
"CICERO'S GIFT (GB)",2020,GELDING,"MUHAARAR (GB)","TERENTIA (GB)","Charles Hills",119,,,,,,,,,,,
"CICI'S SECRET (GB)",2023,FILLY,"A'ALI (IRE)","SECRET INSIDER (USA)","Charlie Pike",58,,,,,,,,,,,
"CILL MOCHEALLOG (IRE)",2021,GELDING,"PHOENIX OF SPAIN (IRE)","EXCEL YOURSELF (IRE)","Dean Ivory",66,,,,,,,,,,,
"CINAMMON COCO (IRE)",2022,GELDING,"PERSIAN KING (IRE)","HOORREYA (GB)","David Pipe",,,,,,,,,,117,,
"CINCINNATI GOLD (IRE)",2023,COLT,"SERGEI PROKOFIEV (CAN)","TWILIGHT THYME (GB)","Joseph Parr",69,,,,,,,,,,,
"CINDERELLA MAN (IRE)",2021,GELDING,"KODIAC (GB)","TARASILA (IRE)",,54,,,,,,,,,,,
"CINDERELLA'S DREAM (GB)",2021,FILLY,"SHAMARDAL (USA)","ESPADRILLE (GB)",,114,,,,,,,,,,,
"CINDERELLO (GB)",2020,FILLY,"DOYEN (IRE)","FERNELLO (GB)","Alex Hales",,,,,,,,,,77,new,
"CINDY LOU WHO (GB)",2022,FILLY,"ZOUSTAR (AUS)","BEIKA (IRE)","Tony Carroll",94,,,,,,,,,,,
"CINNODIN (GB)",2020,GELDING,"ANODIN (IRE)","CINNILLA (GB)","Jamie Snowden",,,,,,,,,,102,+6,
"CINQ DOUZAINE (GB)",2020,FILLY,"SIXTIES ICON (GB)","DOZEN (FR)","Chris Down",,,,,,,,,,73,,
"CINQUE VERDE (GB)",2020,FILLY,"SIOUX NATION (USA)","GREGORIA (IRE)","Tony Carroll",95,+12,,,,,,,,,,
"CINQUENTA (FR)",2020,GELDING,"COKORIKO (FR)","OPALINE SONG (FR)","Jamie Snowden",,,,,,,,,,124,,
"CIOTOG (IRE)",2018,GELDING,"DANDY MAN (IRE)","CRISTAL FASHION (IRE)","Mark Loughnane",53,,,,,,,,,,,
"CIRCE (IRE)",2021,FILLY,"KODIAC (GB)","NORTHEAST MOON (IRE)","Richard Hannon",94,,,,,,,,,,,
"CIRCIOS (IRE)",2022,FILLY,"KINGMAN (GB)","COULD IT BE LOVE (USA)",,81,,,,,,,,,,,
"CIRCLE OF SECRETS (FR)",2022,GELDING,"SEAHENGE (USA)","MARICHEN (FR)","Fergal O'Brien",,,,,,,,,,107,,
"CIRCLE OF TRUST (IRE)",2023,GELDING,"DARK ANGEL (IRE)","REALITY OF DREAMS (USA)","Kevin Ryan",66,,,,,,,,,,,
"CIRCUIT BREAKER (GB)",2020,GELDING,"NATHANIEL (IRE)","AUSTRALIAN QUEEN (GB)","Jonjo & A.J. O'Neill",74,,,,,,,,,107,,
"CIRCUS OF ROME (GB)",2022,GELDING,"CIRCUS MAXIMUS (IRE)","SEA MEETS SKY (FR)","Richard Hughes",98,,,,,,,,,,,
"CISCO DISCO (IRE)",2018,GELDING,"ELZAAM (AUS)","SOVEREIGN STREET (GB)","R. Mike Smith",77,,,,,,,,,,,
"CITY CAPTAIN (GB)",2022,GELDING,"ACLAIM (IRE)","CITY GIRL (IRE)","Harriet Bethell",78,,,,,,,,,,,
"CITY CYCLONE (GB)",2020,GELDING,"CITYSCAPE (GB)","DUBAI CYCLONE (USA)","Tony Carroll",78,,,,,,,,,,,
"CITY ESCAPE (IRE)",2017,FILLY,"CITYSCAPE (GB)","LADY GABRIELLE (IRE)","Nikki Evans",54,,,,,,,,,,,
"CITY OF DELIGHT (USA)",2021,GELDING,"CITY OF LIGHT (USA)","JING (USA)","David Menuisier",90,,,,,,,,,,,
"CITY OF DIAMONDS (IRE)",2020,GELDING,"DIAMOND BOY (FR)","HONEY ROSIE (IRE)","Donald McCain",,,,,,,110,,,110,,
"CITY OF DREAMS (IRE)",2023,GELDING,"COTAI GLORY (GB)","JANE DOE (IRE)","Edward Bethell",54,,,,,,,,,,,
"CITY OF GOD (IRE)",2022,GELDING,"KODIAC (GB)","RARE (IRE)","Michael Attwater",76,-1,,,,,,,,,,
"CITY OF POETS (IRE)",2022,COLT,"GHAIYYATH (IRE)","POPULIST (IRE)","James Tate",92,-1,,,,,,,,,,
"CITY OF YORK (GB)",2020,GELDING,"CITYSCAPE (GB)","PRIMROSE VALLEY (GB)","David Simcock",58,,,,,,,,,,,
"CITY QUEEN (IRE)",2023,FILLY,"DUBAWI (IRE)","ALKANDORA (GB)","Charlie Appleby",82,,,,,,,,,,,
"CITY WALK (IRE)",2017,GELDING,"BRAZEN BEAU (AUS)","MY LUCKY LIZ (IRE)",,95,,,,,,,,,,,
"CIXI (USA)",2023,FILLY,"DAREDEVIL (USA)","CROWNING AFFAIR (USA)","Michael Bell",75,,,,,,,,,,,
"CK O'MARA (IRE)",2021,GELDING,"SHIROCCO (GER)","SIWAARA (IRE)","R. Mike Smith",,,,,,,,,,87,,
"CLAIM DU BRIZAIS (FR)",2020,FILLY,"BEAUMEC DE HOUELLE (FR)","LA TRATTORIA (FR)","Dan Skelton",,,,,,,96,,,,,
"CLANSMAN (GB)",2018,GELDING,"NATHANIEL (IRE)","PEARL DANCE (USA)","Liam Bailey",71,+3,,,,,,,,,,
"CLAP OF THUNDER (IRE)",2020,GELDING,"MOUNT NELSON (GB)","SIDE SADDLE (IRE)","Nigel & Willy Twiston-Davies",,,,,,,117,,,117,,
"CLARENDON HOUSE (GB)",2018,GELDING,"MEHMAS (IRE)","WALAAA (IRE)","Robert Cowell",105,,,,,,,,,,,
"CLASINA (GB)",2021,FILLY,"OASIS DREAM (GB)","GAVOTA (GB)","John Berry",64,,,,,,,,,,,
"CLASSIC (GB)",2020,GELDING,"DUBAWI (IRE)","DATE WITH DESTINY (IRE)","Richard Hannon",95,,,,,,,,,,,
"CLASSIC CUVEE (GB)",2023,FILLY,"SIYOUNI (FR)","YUMMY MUMMY (GB)","Roger Varian",87,,,,,,,,,,,
"CLASSIC ENCOUNTER (IRE)",2021,GELDING,"SHAMARDAL (USA)","ZHUKOVA (IRE)","George Boughey",84,-1,,,,,,,,,,
"CLASSIC KING (IRE)",2018,GELDING,"CHAMPS ELYSEES (GB)","HANGAR SIX (IRE)","Emma Lavelle",,,,,,,128,,,132,,
"CLASSIC LADY (IRE)",2015,FILLY,"FLEMENSFIRTH (USA)","ANOTHER GAYE (IRE)",,,,,,,,,,,80,,
"CLASSIC MAESTRO (IRE)",2018,GELDING,"JET AWAY (GB)","SHANTELLE LINE (IRE)","Jennie Candlish",,,,,,,131,,,,,
"CLASSIC SPEED (IRE)",2020,GELDING,"KODIAC (GB)","ALLURING PARK (IRE)",,52,,,,,,,,,,,
"CLASSICAL ALLUSION (GB)",2022,GELDING,"ULYSSES (IRE)","DIYAVANA (FR)","Andrew Balding",85,,,,,,,,,,,
"CLASSICAL STING (GB)",2020,GELDING,"SCORPION (IRE)","CLASSIC IMPACT (IRE)","L J Morgan",,,,,,,98,,,94,,
"CLASSY AL (GB)",2018,GELDING,"FOUNTAIN OF YOUTH (IRE)","CLASSY ANNE (GB)","Jim Goldie",67,,,,,,,,,,,
"CLASSY CLARETS (IRE)",2021,GELDING,"COTAI GLORY (GB)","HOPE AND FAITH (IRE)","Iain Jardine",53,,,,,,,,,,,
"CLAXTON BAY (GB)",2021,GELDING,"DUE DILIGENCE (USA)","BASSMAH (GB)",,56,,,,,,,,,,,
"CLAYTONS KOLATONIC (GB)",2023,GELDING,"TASLEET (GB)","BRADLEY HALL (GB)","Dominic Ffrench Davis",63,,,,,,,,,,,
"CLEAN GETAWAY (IRE)",2017,GELDING,"GETAWAY (GER)","DEE TWO O TWO (IRE)","Philip Kirby",,,,,,,91,,,88,,
"CLEAR ABOVE (GB)",2023,GELDING,"FAR ABOVE (IRE)","SO SHARP (GB)","Richard & Peter Fahey",57,,,,,,,,,,,
"CLEAR ANGEL (GB)",2018,GELDING,"DARK ANGEL (IRE)","CALYPSO BEAT (USA)",,64,,,,,,,,,,,
"CLEAR FORCE (IRE)",2023,COLT,"SUPREMACY (IRE)","GECORJA (IRE)",,87,,,,,,,,,,,
"CLEAR SKY (GB)",2022,FILLY,"JACK HOBBS (GB)","NOVA DE TEILLEE (FR)",,,,,,,,,,,98,,
"CLEAR STORM (GB)",2021,FILLY,"STORM THE STARS (USA)","ERTIYAD (GB)","Neil Mulholland",,,,,,,,,,97,,
"CLEARISTHEWATER (IRE)",2019,GELDING,"OL' MAN RIVER (IRE)","LUCKY ISLAND (IRE)",,,,,,,,85,,,,,
"CLEARPOINT (GB)",2020,GELDING,"ARDAD (IRE)","PIGEON POINT (GB)","Simon Hodgson",97,-3,,100,new,,,,,,,
"CLERMONT FERRAND (IRE)",2021,FILLY,"KODIAC (GB)","ALSACE LORRAINE (IRE)",,80,,,,,,,,,,,
"CLEVER JACK (IRE)",2022,GELDING,"STARSPANGLEDBANNER (AUS)","SAVVY (IRE)",,56,,,,,,,,,,,
"CLIFFCAKE (IRE)",2018,COLT,"CANFORD CLIFFS (IRE)","CAKE (IRE)","Roy Bowring",66,,,,,,,,,,,
"CLIPPER (IRE)",2023,GELDING,"BUNGLE INTHEJUNGLE (GB)","AURORA BUTTERFLY (IRE)",,57,,,,,,,,,,,
"CLIPSHAM LA HABANA (GB)",2020,GELDING,"HAVANA GREY (GB)","VITTA'S TOUCH (USA)",,52,,,,,,,,,,,
"CLIPSHAM NOBLE (IRE)",2022,GELDING,"MEHMAS (IRE)","NOT MISBEGOTTEN (IRE)","Charlie Clover",44,,,,,,,,,,,
"CLIPSTONE (GB)",2023,GELDING,"ARDAD (IRE)","RESPONDEZ (GB)","Ed de Giles",45,-2,,,,,,,,,,
"CLOAKS OF GOLD (IRE)",2022,FILLY,"CRACKSMAN (GB)","SUBA (USA)","Simon Dow",68,,,,,,,,,109,,
"CLOCH NUA (GB)",2019,GELDING,"EXCEED AND EXCEL (AUS)","LADY ALIENOR (IRE)","Tony Culhane & Stella Barclay",54,,,,,,,,,,,
"CLOCKER (GB)",2023,FILLY,"TIME TEST (GB)","OH DREAM (GB)","Edward Bethell",65,,,,,,,,,,,
"CLOCKMAKER (GB)",2021,GELDING,"NOBLE MISSION (GB)","QUEEN OF TIME (GB)","David Simcock",72,,,,,,,,,,,
"CLONAKILTY (IRE)",2017,GELDING,"FLEMENSFIRTH (USA)","SOEUR GAEL (IRE)","Lizzie Quinlan",,,,,,,100,,,,,
